subject_id,protocol,K,num_calibration_trials,num_test_trials,accuracy,macro_f1,negative_precision,negative_recall,negative_f1,num_test_windows,inference_seconds_per_window,calibration_seconds,checkpoint_path
1,S0,0,0,15,1.0,1.0,1.0,1.0,1.0,120,5.930500095322107e-05,0.0,results\checkpoints\subject01_source_only.pth
1,S1,1,1,14,1.0,1.0,1.0,1.0,1.0,112,5.0918750015885704e-05,0.058315299975220114,results\checkpoints\subject01_S1_K1.pth
1,S1,2,2,13,1.0,1.0,1.0,1.0,1.0,104,2.7156731588407776e-05,0.04846929997438565,results\checkpoints\subject01_S1_K2.pth
1,S1,3,3,12,1.0,1.0,1.0,1.0,1.0,96,4.045104227164605e-05,0.059011499979533255,results\checkpoints\subject01_S1_K3.pth
1,S2,1,1,14,1.0,1.0,1.0,1.0,1.0,112,3.828660711795757e-05,0.0711818000418134,results\checkpoints\subject01_S2_K1.pth
1,S2,2,2,13,1.0,1.0,1.0,1.0,1.0,104,2.9848076407618533e-05,0.05385800002841279,results\checkpoints\subject01_S2_K2.pth
1,S2,3,3,12,1.0,1.0,1.0,1.0,1.0,96,2.7189584216102958e-05,0.052600800001528114,results\checkpoints\subject01_S2_K3.pth
2,S0,0,0,15,1.0,1.0,1.0,1.0,1.0,120,2.8345000949533035e-05,0.0,results\checkpoints\subject02_source_only.pth
2,S1,1,1,14,1.0,1.0,1.0,1.0,1.0,112,2.922589296109176e-05,0.045043000020086765,results\checkpoints\subject02_S1_K1.pth
2,S1,2,2,13,1.0,1.0,1.0,1.0,1.0,104,4.862019257136406e-05,0.053670199995394796,results\checkpoints\subject02_S1_K2.pth
2,S1,3,3,12,1.0,1.0,1.0,1.0,1.0,96,4.060520768689457e-05,0.06350520002888516,results\checkpoints\subject02_S1_K3.pth
2,S2,1,1,14,1.0,1.0,1.0,1.0,1.0,112,4.600982200437491e-05,0.0558162999805063,results\checkpoints\subject02_S2_K1.pth
2,S2,2,2,13,1.0,1.0,1.0,1.0,1.0,104,3.4755770264802355e-05,0.05979729996761307,results\checkpoints\subject02_S2_K2.pth
2,S2,3,3,12,1.0,1.0,1.0,1.0,1.0,96,2.68062497828699e-05,0.0771882000262849,results\checkpoints\subject02_S2_K3.pth
3,S0,0,0,15,1.0,1.0,1.0,1.0,1.0,120,3.209416803050165e-05,0.0,results\checkpoints\subject03_source_only.pth
3,S1,1,1,14,1.0,1.0,1.0,1.0,1.0,112,3.027767888852395e-05,0.05351699999300763,results\checkpoints\subject03_S1_K1.pth
3,S1,2,2,13,1.0,1.0,1.0,1.0,1.0,104,6.589807610278233e-05,0.06384370004525408,results\checkpoints\subject03_S1_K2.pth
3,S1,3,3,12,1.0,1.0,1.0,1.0,1.0,96,4.913124879143046e-05,0.06194440001854673,results\checkpoints\subject03_S1_K3.pth
3,S2,1,1,14,1.0,1.0,1.0,1.0,1.0,112,6.14776779132496e-05,0.0694865999976173,results\checkpoints\subject03_S2_K1.pth
3,S2,2,2,13,1.0,1.0,1.0,1.0,1.0,104,3.467884772152711e-05,0.0644249000470154,results\checkpoints\subject03_S2_K2.pth
3,S2,3,3,12,1.0,1.0,1.0,1.0,1.0,96,4.3820832312727966e-05,0.1105801000376232,results\checkpoints\subject03_S2_K3.pth
